accuracy	dm_source_file	leksikalnost	rec	trial_number	NoM	RT
70.96774194	50-2018A.csv	rec	BRBLJANJE	56	1	1095
83.66013072	53-2018B.csv	rec	BRBLJANJE	56	1	1131
91.46341463	54-2018B.csv	rec	BRBLJANJE	56	1	722
95.33678756	55-2018B.csv	rec	BRBLJANJE	56	1	816
96	56-2018A.csv	rec	BRBLJANJE	56	1	678
93.93939394	56-2018B.csv	rec	BRBLJANJE	56	1	689
91.66666667	59-2018A.csv	rec	BRBLJANJE	56	1	879
95.36082474	61-2018B.csv	rec	BRBLJANJE	56	1	687
96.45390071	6-2018B.csv	rec	BRBLJANJE	56	1	824
94.87179487	63-2018A.csv	rec	BRBLJANJE	56	1	737
95.58823529	65-2018B.csv	rec	BRBLJANJE	56	1	728
89.47368421	67-2018B.csv	rec	BRBLJANJE	56	1	1205
93.03482587	68-2018B.csv	rec	BRBLJANJE	56	1	487
96	7-2018A.csv	rec	BRBLJANJE	56	1	858
100	73-2018A.csv	rec	BRBLJANJE	56	1	646
100	8-2018A.csv	rec	BRBLJANJE	56	1	778
91.57303371	99-2018B.csv	rec	BRBLJANJE	56	1	1201
89.47368421	02-2018A.csv	rec	BRDO	81	2	611
92.59259259	09-2018B.csv	rec	BRDO	81	2	926
85.79881657	10-2018A.csv	rec	BRDO	81	2	624
94.41860465	1-2018A.csv	rec	BRDO	81	2	539
95.12195122	12-2018B.csv	rec	BRDO	81	2	507
89.61038961	14-2018B.csv	rec	BRDO	81	2	495
88.88888889	18-2018B.csv	rec	BRDO	81	2	586
86.02150538	19-2018B.csv	rec	BRDO	81	2	529
90.11627907	20-2018A.csv	rec	BRDO	81	2	507
93.22033898	21-2018A.csv	rec	BRDO	81	2	496
94.25287356	23-2018B.csv	rec	BRDO	81	2	468
90.58823529	26-2018A.csv	rec	BRDO	81	2	684
95.0617284	31-2018A.csv	rec	BRDO	81	2	462
93.6416185	33-2018A.csv	rec	BRDO	81	2	429
94.11764706	34-2018B.csv	rec	BRDO	81	2	587
85.47486034	35-2018A.csv	rec	BRDO	81	2	691
80.76923077	36-2018B.csv	rec	BRDO	81	2	728
97.27891156	37-2018A.csv	rec	BRDO	81	2	537
96.66666667	40-2018A.csv	rec	BRDO	81	2	593
92	4-2018B.csv	rec	BRDO	81	2	887
89.01098901	42-2018A.csv	rec	BRDO	81	2	476
90.81632653	43-2018A.csv	rec	BRDO	81	2	550
91.11111111	44-2018B.csv	rec	BRDO	81	2	626
88.74172185	45-2018A.csv	rec	BRDO	81	2	613
94.62365591	48-2018A.csv	rec	BRDO	81	2	581
77.27272727	50-2018A.csv	rec	BRDO	81	2	711
86.2745098	53-2018B.csv	rec	BRDO	81	2	605
90	54-2018B.csv	rec	BRDO	81	2	525
92.06349206	55-2018B.csv	rec	BRDO	81	2	591
95.23809524	56-2018A.csv	rec	BRDO	81	2	476
92.5	56-2018B.csv	rec	BRDO	81	2	902
95.41284404	61-2018B.csv	rec	BRDO	81	2	703
95.0617284	6-2018B.csv	rec	BRDO	81	2	519
91.70506912	63-2018A.csv	rec	BRDO	81	2	628
94.59459459	65-2018B.csv	rec	BRDO	81	2	625
95.23809524	67-2018B.csv	rec	BRDO	81	2	893
91.89189189	68-2018B.csv	rec	BRDO	81	2	610
93.14285714	7-2018A.csv	rec	BRDO	81	2	580
98.82352941	73-2018A.csv	rec	BRDO	81	2	487
94.70198676	8-2018A.csv	rec	BRDO	81	2	616
95.58823529	99-2018B.csv	rec	BRDO	81	2	734
90.90909091	09-2018B.csv	rec	DAR	59	2	647
86.44067797	10-2018A.csv	rec	DAR	59	2	573
94.84536082	1-2018A.csv	rec	DAR	59	2	556
90.47619048	12-2018B.csv	rec	DAR	59	2	734
91.30434783	14-2018B.csv	rec	DAR	59	2	532
91.25	18-2018B.csv	rec	DAR	59	2	658
87.1559633	19-2018B.csv	rec	DAR	59	2	507
90.19607843	20-2018A.csv	rec	DAR	59	2	421
92.74611399	21-2018A.csv	rec	DAR	59	2	407
92.85714286	23-2018B.csv	rec	DAR	59	2	598
90.75144509	26-2018A.csv	rec	DAR	59	2	530
94.68085106	31-2018A.csv	rec	DAR	59	2	604
93.8547486	33-2018A.csv	rec	DAR	59	2	516
92.30769231	34-2018B.csv	rec	DAR	59	2	866
84.90566038	35-2018A.csv	rec	DAR	59	2	716
80	36-2018B.csv	rec	DAR	59	2	590
97.18309859	37-2018A.csv	rec	DAR	59	2	579
95.6097561	40-2018A.csv	rec	DAR	59	2	530
88.17204301	4-2018B.csv	rec	DAR	59	2	692
89.65517241	42-2018A.csv	rec	DAR	59	2	495
90.20979021	43-2018A.csv	rec	DAR	59	2	772
91.50943396	44-2018B.csv	rec	DAR	59	2	635
89.44723618	45-2018A.csv	rec	DAR	59	2	604
95.83333333	48-2018A.csv	rec	DAR	59	2	616
77.65957447	50-2018A.csv	rec	DAR	59	2	678
83.95061728	53-2018B.csv	rec	DAR	59	2	542
91.66666667	54-2018B.csv	rec	DAR	59	2	642
93.18181818	55-2018B.csv	rec	DAR	59	2	479
96.37681159	56-2018A.csv	rec	DAR	59	2	542
90.72164948	56-2018B.csv	rec	DAR	59	2	588
84.72222222	59-2018A.csv	rec	DAR	59	2	675
95.23809524	61-2018B.csv	rec	DAR	59	2	550
96.875	6-2018B.csv	rec	DAR	59	2	501
91.74311927	63-2018A.csv	rec	DAR	59	2	608
94.91525424	65-2018B.csv	rec	DAR	59	2	555
88.18181818	67-2018B.csv	rec	DAR	59	2	915
92.30769231	68-2018B.csv	rec	DAR	59	2	614
92.30769231	7-2018A.csv	rec	DAR	59	2	466
98.7012987	73-2018A.csv	rec	DAR	59	2	483
94.63087248	8-2018A.csv	rec	DAR	59	2	491
95.74468085	99-2018B.csv	rec	DAR	59	2	657
90.41916168	02-2018A.csv	rec	DEKOR	21	2	759
90	09-2018B.csv	rec	DEKOR	21	2	717
85.54216867	10-2018A.csv	rec	DEKOR	21	2	819
94.65240642	1-2018A.csv	rec	DEKOR	21	2	554
96.42857143	12-2018B.csv	rec	DEKOR	21	2	705
91.20879121	14-2018B.csv	rec	DEKOR	21	2	583
87.5	18-2018B.csv	rec	DEKOR	21	2	592
80	19-2018B.csv	rec	DEKOR	21	2	654
90.14084507	20-2018A.csv	rec	DEKOR	21	2	474
92.81437126	21-2018A.csv	rec	DEKOR	21	2	534
93.33333333	23-2018B.csv	rec	DEKOR	21	2	587
90.52631579	26-2018A.csv	rec	DEKOR	21	2	830
93.77990431	31-2018A.csv	rec	DEKOR	21	2	547
92.02898551	33-2018A.csv	rec	DEKOR	21	2	555
93.61702128	34-2018B.csv	rec	DEKOR	21	2	916
86.02150538	35-2018A.csv	rec	DEKOR	21	2	979
97.01492537	37-2018A.csv	rec	DEKOR	21	2	725
98.24561404	40-2018A.csv	rec	DEKOR	21	2	824
88.39285714	4-2018B.csv	rec	DEKOR	21	2	712
90	42-2018A.csv	rec	DEKOR	21	2	460
92.10526316	44-2018B.csv	rec	DEKOR	21	2	600
89.47368421	45-2018A.csv	rec	DEKOR	21	2	648
90.24390244	54-2018B.csv	rec	DEKOR	21	2	809
90.32258065	55-2018B.csv	rec	DEKOR	21	2	658
95	56-2018A.csv	rec	DEKOR	21	2	653
90	56-2018B.csv	rec	DEKOR	21	2	824
84.86238532	59-2018A.csv	rec	DEKOR	21	2	1337
95.65217391	61-2018B.csv	rec	DEKOR	21	2	956
96.15384615	6-2018B.csv	rec	DEKOR	21	2	718
93.29268293	63-2018A.csv	rec	DEKOR	21	2	944
96.03960396	65-2018B.csv	rec	DEKOR	21	2	630
93.33333333	68-2018B.csv	rec	DEKOR	21	2	692
92.53731343	7-2018A.csv	rec	DEKOR	21	2	780
98.77300614	73-2018A.csv	rec	DEKOR	21	2	688
95.12195122	8-2018A.csv	rec	DEKOR	21	2	757
94.82758621	99-2018B.csv	rec	DEKOR	21	2	829
89.94974874	02-2018A.csv	rec	DERBI	27	2	682
95.23809524	09-2018B.csv	rec	DERBI	27	2	593
86	10-2018A.csv	rec	DERBI	27	2	1100
94.33962264	1-2018A.csv	rec	DERBI	27	2	698
94.11764706	12-2018B.csv	rec	DERBI	27	2	685
88.70967742	14-2018B.csv	rec	DERBI	27	2	632
89.70588235	18-2018B.csv	rec	DERBI	27	2	874
65.2173913	19-2018B.csv	rec	DERBI	27	2	605
90.59405941	20-2018A.csv	rec	DERBI	27	2	683
93.42723005	21-2018A.csv	rec	DERBI	27	2	780
92.85714286	23-2018B.csv	rec	DERBI	27	2	565
89.70588235	26-2018A.csv	rec	DERBI	27	2	693
94	31-2018A.csv	rec	DERBI	27	2	683
93.88888889	33-2018A.csv	rec	DERBI	27	2	651
92.85714286	34-2018B.csv	rec	DERBI	27	2	672
85.05747126	35-2018A.csv	rec	DERBI	27	2	776
80	36-2018B.csv	rec	DERBI	27	2	781
95.90643275	37-2018A.csv	rec	DERBI	27	2	733
95.4954955	40-2018A.csv	rec	DERBI	27	2	579
88.23529412	4-2018B.csv	rec	DERBI	27	2	903
88.50574713	42-2018A.csv	rec	DERBI	27	2	461
90.25974026	43-2018A.csv	rec	DERBI	27	2	845
91.54929577	44-2018B.csv	rec	DERBI	27	2	999
88.94736842	45-2018A.csv	rec	DERBI	27	2	714
95.30516432	48-2018A.csv	rec	DERBI	27	2	664
77.89473684	50-2018A.csv	rec	DERBI	27	2	742
84.70588235	53-2018B.csv	rec	DERBI	27	2	846
94.85714286	56-2018A.csv	rec	DERBI	27	2	554
92.85714286	56-2018B.csv	rec	DERBI	27	2	759
95	61-2018B.csv	rec	DERBI	27	2	586
96.22641509	6-2018B.csv	rec	DERBI	27	2	542
91.70731707	63-2018A.csv	rec	DERBI	27	2	761
95	65-2018B.csv	rec	DERBI	27	2	630
93.75	67-2018B.csv	rec	DERBI	27	2	1328
92.25806452	7-2018A.csv	rec	DERBI	27	2	655
97.6076555	73-2018A.csv	rec	DERBI	27	2	608
94.73684211	8-2018A.csv	rec	DERBI	27	2	685
95.55555556	99-2018B.csv	rec	DERBI	27	2	669
87	02-2018A.csv	rec	DISANJE	52	1	487
92.1182266	09-2018B.csv	rec	DISANJE	52	1	805
85.48387097	10-2018A.csv	rec	DISANJE	52	1	643
93.33333333	1-2018A.csv	rec	DISANJE	52	1	524
95.65217391	12-2018B.csv	rec	DISANJE	52	1	810
93.125	14-2018B.csv	rec	DISANJE	52	1	534
93.18181818	18-2018B.csv	rec	DISANJE	52	1	611
90.05524862	19-2018B.csv	rec	DISANJE	52	1	548
95.34883721	20-2018A.csv	rec	DISANJE	52	1	614
96.15384615	21-2018A.csv	rec	DISANJE	52	1	442
91.17647059	23-2018B.csv	rec	DISANJE	52	1	431
